ID,File,Line,Category,Priority,Description,Owner/Component,Estimated Effort,Issue Link
1,cmd/kubeproto/protoc-gen-kubeproto/main_test.go,115,Testing,Low,Assert CRD description in test,kubeproto,Small,#65
2,components/pipelinerun/actors/executeworkflow.go,28,Configuration,Medium,Fix typo in workflow name and make configurable,pipelinerun,Small,#546
3,components/pipelinerun/actors/executeworkflow.go,29,Configuration,Medium,Make S3 workspace root URL configurable,pipelinerun,Small,#547
4,components/triggerrun/module.go,35,Missing Feature,Low,Add support for other trigger types,triggerrun,Medium,#548
5,components/deployment/controller.go,73,Refactoring,Medium,Refactor to unexport unnecessary exports,deployment,Small,#549
6,components/deployment/controller.go,291,Refactoring,Medium,Make GetState return just deployment state,deployment,Medium,#550
7,components/deployment/controller.go,339,Refactoring,Low,Add runtime context to match Uber pattern,deployment,Small,#551
8,components/deployment/controller.go,616,Missing Feature,Low,Complete full implementation (placeholder code),deployment,Large,#552
9,components/ray/cluster/controller.go,205,Version Upgrade,Low,Use proper PodName after kuberay upgrade,ray,Small,#553
10,components/ray/job/controller.go,169,Version Upgrade,Low,Add support for kuberay v1.2.2,ray,Small,#554
11,api/handler/metadata_handler.go,112,Missing Feature,Medium,Implement blob storage object update,api,Medium,#555
12,api/handler/metadata_handler.go,123,Optimization,Low,Skip Get call if annotations already available,api,Small,#556
13,api/crd/sync.go,279,Technical Decision,Low,Decide on conversion strategy (currently NoneConverter),api,Small,#557
14,worker/plugins/cachedoutput/starlark_module.go,200,Missing Feature,Low,Add support for listOptionExt (orderBy/lookbackDays),worker,Small,#558
15,worker/plugins/ray/starlark_module.go,21,Missing Feature,High,Implement Ray starlark plugin,worker,Large,#559
16,worker/plugins/ray/starlark_module.go,121,Technical Decision,Low,Decide if termination signal needed,worker,Small,#560
17,worker/plugins/spark/starlark_module.go,35,Missing Feature,High,Implement Spark starlark plugin,worker,Large,#561
18,worker/workflows/trigger/cron_trigger_workflows_test.go,431,Testing,Medium,Add comprehensive workflow tests with mocking,worker,Medium,#564
19,worker/workflows/ray/ray_workflows.go,13,Missing Feature,High,Implement Ray workflows once API ready,worker,Large,#562
20,controllermgr/module.go,113,Error Handling,High,Improve error handling (exit app or propagate?),controllermgr,Small,#563
21,thirdparty/k8s-crds/apis/sparkoperator.k8s.io/v1beta2/types.go,443,Technical Decision,Low,Investigate v1.PodSpec usage,thirdparty,Small,#565
22,base/conditions/engine/defaultengine.go,18,Configuration,Medium,Make engine configuration configurable,base,Small,#566
